ProjectName,Scenario,Watershed,WeppID,TopazID,Landuse,Soil,Length (m),Hillslope Area (ha),Runoff (mm),Lateral Flow (mm),Baseflow (mm),Soil Loss (kg/ha),Sediment Deposition (kg/ha),Sediment Yield (kg/ha),Width (m),Slope,LanduseDesc,SoilDesc,Particle Class 1 Fraction,Particle Class 2 Fraction,Particle Class 3 Fraction,Particle Class 4 Fraction,Particle Class 5 Fraction,Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (kg/ha)
kam_mt,Mulch_Till,Kamiache_Creek,1,22,202,68521,96.11317230511223,1.8,2.683333333333333,0.05555555555555555,34.74444444444445,1.0555555555555556,0.0,1.0555555555555556,187.27922061357853,0.12539143155772356,Barley Fallow Int Precip MT 1,"Chard silt loam, 7 to 15 percent slopes (SIL)",0.03,0.49,0.203,0.138,0.138,0.5809,0.6131722222222222
kam_mt,Mulch_Till,Kamiache_Creek,2,23,202,68522,264.31122383905864,5.0,2.8160000000000003,0.03,32.89,97.2,0.0,97.2,187.27922061357853,0.171680151635743,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.025,0.405,0.172,0.199,0.2,0.48160000000000003,46.81152
kam_mt,Mulch_Till,Kamiache_Creek,3,31,202,68590,225.25714966325717,5.4,6.2481481481481485,0.005555555555555556,13.438888888888888,1.3703703703703702,0.0,1.3703703703703702,239.72602015397078,0.08776986401634579,Barley Fallow Int Precip MT 1,"Athena silt loam, 7 to 25 percent slopes (SIL)",0.055,0.461,0.364,0.101,0.019,0.6252,0.8567555555555555
kam_mt,Mulch_Till,Kamiache_Creek,4,32,202,68522,69.58506688910713,9.0,1.1533333333333333,0.07888888888888888,32.08888888888889,0.6555555555555556,0.0,0.6555555555555556,1293.3809511662428,0.12464569747304939,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.028,0.461,0.193,0.159,0.159,0.5469,0.35852333333333336
kam_mt,Mulch_Till,Kamiache_Creek,5,33,202,68590,77.93527491579998,10.1,8.529702970297029,0.01881188118811881,13.074257425742575,1.6534653465346534,0.0,1.6534653465346534,1293.3809511662428,0.10643952295866482,Barley Fallow Int Precip MT 1,"Athena silt loam, 7 to 25 percent slopes (SIL)",0.054,0.459,0.363,0.104,0.02,0.6219,1.0282900990099009
kam_mt,Mulch_Till,Kamiache_Creek,6,42,42,68522,62.13203435596426,0.5,0.0,0.08,17.42,0.0,0.0,0.0,72.42640687119285,0.11918029250702519,Evergreen Forest,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.0,0.0,0.0,0.0,0.0,0.0,0.0
kam_mt,Mulch_Till,Kamiache_Creek,7,43,202,68537,62.13203435596426,0.5,4.88,0.02,11.38,2.0,0.0,2.0,72.42640687119285,0.1230264845980269,Barley Fallow Int Precip MT 1,Hermiston silt loam (SIL),0.043,0.552,0.287,0.086,0.032,0.6811,1.3622
kam_mt,Mulch_Till,Kamiache_Creek,8,52,202,68522,51.50076385424748,0.8,0.725,0.0875,32.9625,0.7499999999999999,0.0,0.7499999999999999,157.27922061357853,0.10160317888788173,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.027,0.443,0.188,0.171,0.171,0.5264,0.39479999999999993
kam_mt,Mulch_Till,Kamiache_Creek,9,53,202,68537,11.444614189832773,0.2,5.4,0.1,11.3,2.5,0.0,2.5,157.27922061357853,0.17,Barley Fallow Int Precip MT 1,Hermiston silt loam (SIL),0.043,0.552,0.287,0.086,0.032,0.6811,1.70275
kam_mt,Mulch_Till,Kamiache_Creek,10,62,202,68522,151.37443927346226,6.4,0.6734375,0.0328125,32.7078125,25.406249999999996,0.0,25.406249999999996,422.13203435596427,0.10411067041272865,Barley Fallow Int Precip MT 1,"Chard silt loam, 15 to 25 percent slopes (SIL)",0.025,0.404,0.171,0.2,0.2,0.48030000000000006,12.202621875
