"RCH","FLOW_INcms","FLOW_OUTcms","EVAPcms","TLOSScms","SED_INtons","SED_OUTtons","SEDCONCmg/L","ORGN_INkg","ORGN_OUTkg","ORGP_INkg","ORGP_OUTkg","NO3_INkg","NO3_OUTkg","NH4_INkg","NH4_OUTkg","NO2_INkg","NO2_OUTkg","MINP_INkg","MINP_OUTkg","CHLA_INkg","CHLA_OUTkg","CBOD_INkg","CBOD_OUTkg","DISOX_INkg","DISOX_OUTkg","SOLPST_INmg","SOLPST_OUTmg","SORPST_INmg","SORPST_OUTmg","REACTPSTmg","VOLPSTmg","SETTLPSTmg","RESUSP_PSTmg","DIFFUSEPSTmg","REACBEDPSTmg","BURYPSTmg","BED_PSTmg","BACTP_OUTct","BACTLP_OUTct","CMETAL#1kg","CMETAL#2kg","CMETAL#3kg","TOTNkg","TOTPkg","NO3ConcMg/l","WTMPdegc","Watershed","Scenario"
1,0.00674081818181818,0.00673409090909091,8.62872727272727e-07,0,8.94990909090909,8.94636363636364,21.9463636363636,17.1350909090909,17.1322727272727,15.7479090909091,15.7411818181818,698.5,698.318181818182,0.0342027272727273,0.0408045454545455,2.6466e-06,3.97800909090909e-06,28.9536363636364,28.9518181818182,2.88081818181818,2.794,995.5,994.063636363636,1862.63636363636,1838.63636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,715.481818181818,44.6918181818182,0,0,"WE38","Calibrated_txtinout_Scenario01"
2,0.00635836363636364,0.00631927272727273,2.56754545454545e-06,0,8.71472727272727,8.76545454545455,23.0536363636364,16.6831818181818,16.668,15.3772727272727,15.3396363636364,654.045454545455,652.381818181818,0.0146836363636364,0.0342027272727273,0,2.6466e-06,27.0209090909091,26.9909090909091,2.83045454545455,2.55509090909091,978.2,973.809090909091,1819.36363636364,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,669.136363636364,42.33,0,0,"WE38","Calibrated_txtinout_Scenario01"
3,0.00479090909090909,0.00478127272727273,1.07091818181818e-06,0,5.95509090909091,5.95081818181818,19.0845454545455,13.0227272727273,13.0194545454545,11.7871818181818,11.7768181818182,494.209090909091,493.790909090909,0.00673409090909091,0.0146836363636364,0,0,21.9832727272727,21.9783636363636,2.47718181818182,2.34454545454545,753.836363636364,752.145454545455,1349.32727272727,1306.33636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506.818181818182,33.7527272727273,0,0,"WE38","Calibrated_txtinout_Scenario01"
4,0.00406645454545455,0.00393727272727273,9.73590909090909e-07,0,4.87345454545455,4.82390909090909,17.8836363636364,10.4279090909091,10.3762727272727,9.54736363636364,9.47027272727273,420.963636363636,415.781818181818,0,0.00673409090909091,0,0,17.4562727272727,17.3422727272727,2.04885454545455,1.92594545454545,582.727272727273,580.181818181818,1299.62727272727,1082.22727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.163636363636,26.81,0,0,"WE38","Calibrated_txtinout_Scenario01"
5,0.00199954545454545,0.00197554545454545,3.84618181818182e-07,0,0.759390909090909,0.759118181818182,2.86195454545455,3.02039090909091,3.01861818181818,2.58609090909091,2.58318181818182,208.618181818182,207.809090909091,0,0.00215463636363636,0,0,5.07327272727273,5.06481818181818,0.453781818181818,0.434818181818182,152.127272727273,151.755454545455,652.1,570.854545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.818181818182,7.648,0,0,"WE38","Calibrated_txtinout_Scenario01"
6,0.132192727272727,0.128484545454545,0.000150136363636364,0,130.46,130.048181818182,8.30290909090909,431.281818181818,429.354545454545,367.027272727273,363.836363636364,18005.4545454545,17804.5454545455,0.0429590909090909,0.121023636363636,3.97800909090909e-06,1.42978181818182e-05,388.145454545455,386.954545454545,51.7972727272727,39.5518181818182,31604.0909090909,31013.4545454545,40762.7272727273,29489.0909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18233.6363636364,750.772727272727,0,0,"WE38","Calibrated_txtinout_Scenario01"
1,0.00697385185185185,0.006967,8.78907407407407e-07,0,11.209037037037,11.2055555555556,24.5055555555556,32.6966666666667,32.6927037037037,24.3152962962963,24.3052222222222,787.866666666667,787.474074074074,0.0455174074074074,0.0544385185185185,4.73530740740741e-06,7.5888037037037e-06,55.7755555555556,55.7666666666667,3.80248148148148,3.69018518518519,1332.06296296296,1330.30740740741,1849.78518518519,1822.00740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,820.222222222222,80.0711111111111,0,0,"WE38","Calibrated_txtinout_Scenario02"
2,0.00657125925925926,0.00653344444444444,2.62296296296296e-06,0,10.9079259259259,10.911962962963,25.6540740740741,31.6009259259259,31.5674074074074,23.5606666666667,23.509037037037,734.281481481481,732.003703703704,0.0193506296296296,0.0455174074074074,7.41537037037037e-08,4.73530740740741e-06,52.1518518518519,52.0848148148148,3.75103703703704,3.39290740740741,1302.96666666667,1297.22962962963,1814.43333333333,1709.74814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763.581481481481,75.5914814814815,0,0,"WE38","Calibrated_txtinout_Scenario02"
3,0.004957,0.00494774074074074,1.09312962962963e-06,0,7.49074074074074,7.48585185185185,21.4096296296296,24.4112222222222,24.401,17.9372962962963,17.9227777777778,560.451851851852,559.87037037037,0.00889344444444445,0.0193506296296296,0,7.41537037037037e-08,42.4324814814815,42.4146666666667,3.2487037037037,3.07502962962963,992.859259259259,990.744444444444,1343.9037037037,1297.45185185185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584.259259259259,60.3418518518519,0,0,"WE38","Calibrated_txtinout_Scenario02"
4,0.00419314814814815,0.00407140740740741,9.91633333333333e-07,0,5.99874074074074,5.94474074074074,19.4033333333333,18.9708888888889,18.8777037037037,14.0852962962963,13.9832592592593,462.385185185185,455.211111111111,0,0.00889344444444445,0,0,33.2184814814815,33.0123333333333,2.66174074074074,2.50179259259259,764.708888888889,761.88,1311.17777777778,1074.40740740741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474.092592592593,46.9933333333333,0,0,"WE38","Calibrated_txtinout_Scenario02"
